----------------------------------------------------------------------------------
Inicio
2019-04-30 12:21:29 PM
 TOTAL DE REGISTROS 345
workzone ZIPCODE|ESTADO|PAIS|WORK_ZONE_NAME|LABEL|
workzone 170107|active|DO|PERAVIA, EL CARRETON, C.P. 170107|DO170107|
workzone 170106|active|DO|PERAVIA, BANI, C.P. 170106|DO170106|
workzone 170105|active|DO|PERAVIA, PAYA, C.P. 170105|DO170105|
workzone 170104|active|DO|PERAVIA, SABANA BUEY, C.P. 170104|DO170104|
workzone 170103|active|DO|PERAVIA, VILLA FUNDACION, C.P. 170103|DO170103|
workzone 170102|active|DO|PERAVIA, MATANZAS, C.P. 170102|DO170102|
workzone 170101|active|DO|PERAVIA, BANI, C.P. 170101|DO170101|
workzone 160201|active|DO|PEDERNALES, OVIEDO, C.P. 160201|DO160201|
workzone 160103|active|DO|PEDERNALES, JOSE FRANCISCO PEÑA GOMEZ, C.P. 160103|DO160103|
workzone 160102|active|DO|PEDERNALES, JUANCHO, C.P. 160102|DO160102|
workzone 160101|active|DO|PEDERNALES, PEDERNALES, C.P. 160101|DO160101|
workzone 150601|active|DO|MONTE CRISTI, VILLA VAZQUEZ, C.P. 150601|DO150601|
workzone 150501|active|DO|MONTE CRISTI, PEPILLO SALCEDO (MANZANILLO), C.P. 150501|DO150501|
workzone 150401|active|DO|MONTE CRISTI, LAS MATAS DE SANTA CRUZ, C.P. 150401|DO150401|
workzone 150304|active|DO|MONTE CRISTI, CANA CHAPETON, C.P. 150304|DO150304|
workzone 150303|active|DO|MONTE CRISTI, HATILLO PALMA, C.P. 150303|DO150303|
workzone 150302|active|DO|MONTE CRISTI, VILLA ELISA, C.P. 150302|DO150302|
workzone 150301|active|DO|MONTE CRISTI, GUAYUBIN, C.P. 150301|DO150301|
workzone 150202|active|DO|MONTE CRISTI, PALO VERDE, C.P. 150202|DO150202|
workzone 150201|active|DO|MONTE CRISTI, CASTAÑUELAS, C.P. 150201|DO150201|
workzone 150101|active|DO|MONTE CRISTI, MONTE CRISTI, C.P. 150101|DO150101|
workzone 140401|active|DO|MARIA TRINIDAD SANCHEZ, RIO SAN JUAN, C.P. 140401|DO140401|
workzone 140302|active|DO|MARIA TRINIDAD SANCHEZ, EL POZO D.M., C.P. 140302|DO140302|
workzone 140301|active|DO|MARIA TRINIDAD SANCHEZ, EL FACTOR, C.P. 140301|DO140301|
workzone 140203|active|DO|MARIA TRINIDAD SANCHEZ, LA ENTRADA, C.P. 140203|DO140203|
workzone 140202|active|DO|MARIA TRINIDAD SANCHEZ, ARROYO SALADO, C.P. 140202|DO140202|
workzone 140201|active|DO|MARIA TRINIDAD SANCHEZ, CABRERA, C.P. 140201|DO140201|
workzone 140103|active|DO|MARIA TRINIDAD SANCHEZ, LAS GORDAS, C.P. 140103|DO140103|
workzone 140102|active|DO|MARIA TRINIDAD SANCHEZ, SAN JOSE DE MATANZAS, C.P. 140102|DO140102|
workzone 140101|active|DO|MARIA TRINIDAD SANCHEZ, NAGUA, C.P. 140101|DO140101|
workzone 130402|active|DO|LA VEGA, RINCON, C.P. 130402|DO130402|
workzone 130401|active|DO|LA VEGA, JIMA ABAJO, C.P. 130401|DO130401|
workzone 130302|active|DO|LA VEGA, BUENA VISTA, C.P. 130302|DO130302|
workzone 130301|active|DO|LA VEGA, JARABACOA, C.P. 130301|DO130301|
workzone 130203|active|DO|LA VEGA, LA SABINA, C.P. 130203|DO130203|
workzone 130202|active|DO|LA VEGA, TIREO, C.P. 130202|DO130202|
workzone 130201|active|DO|LA VEGA, CONSTANZA, C.P. 130201|DO130201|
workzone 130103|active|DO|LA VEGA, EL RANCHITO, C.P. 130103|DO130103|
workzone 130102|active|DO|LA VEGA, RIO VERDE ARRIBA, C.P. 130102|DO130102|
workzone 130101|active|DO|LA VEGA, LA VEGA, C.P. 130101|DO130101|
workzone 120302|active|DO|LA ROMANA, CUMAYASA, C.P. 120302|DO120302|
workzone 120301|active|DO|LA ROMANA, VILLA HERMOSA, C.P. 120301|DO120301|
workzone 120201|active|DO|LA ROMANA, GUAYMATE, C.P. 120201|DO120201|
workzone 120101|active|DO|LA ROMANA, LA ROMANA, C.P. 120101|DO120101|
workzone 110301|active|DO|LA ALTAGRACIA, LAGUNAS DE NISIBON, C.P. 110301|DO110301|
workzone 110203|active|DO|LA ALTAGRACIA, ZONA URBANA, C.P. 110203|DO110203|
workzone 110202|active|DO|LA ALTAGRACIA, BOCA DE YUMA, C.P. 110202|DO110202|
workzone 110201|active|DO|LA ALTAGRACIA, SAN RAFAEL DEL YUMA, C.P. 110201|DO110201|
workzone 110102|active|DO|LA ALTAGRACIA, LA OTRA BANDA, C.P. 110102|DO110102|
workzone 110101|active|DO|LA ALTAGRACIA, HIGUEY, C.P. 110101|DO110101|
workzone 100602|active|DO|INDEPENDENCIA, LA COLONIA, C.P. 100602|DO100602|
workzone 100601|active|DO|INDEPENDENCIA, MELLA, C.P. 100601|DO100601|
workzone 100501|active|DO|INDEPENDENCIA, CRISTOBAL, C.P. 100501|DO100501|
workzone 100402|active|DO|INDEPENDENCIA, GUAYABAL, C.P. 100402|DO100402|
workzone 100401|active|DO|INDEPENDENCIA, POSTRER RIO, C.P. 100401|DO100401|
workzone 100301|active|DO|INDEPENDENCIA, LA DESCUBIERTA, C.P. 100301|DO100301|
workzone 100202|active|DO|INDEPENDENCIA, VENGAN A VER, C.P. 100202|DO100202|
workzone 100201|active|DO|INDEPENDENCIA, DUVERGE, C.P. 100201|DO100201|
workzone 100103|active|DO|INDEPENDENCIA, BOCA DE CACHON, C.P. 100103|DO100103|
workzone 100102|active|DO|INDEPENDENCIA, EL LIMON, C.P. 100102|DO100102|
workzone 100101|active|DO|INDEPENDENCIA, JIMANI, C.P. 100101|DO100101|
workzone 090401|active|DO|ESPAILLAT, JAMAO AL NORTE, C.P. 090401|DO090401|
workzone 090304|active|DO|ESPAILLAT, VILLA MAGANTE, C.P. 090304|DO090304|
workzone 090303|active|DO|ESPAILLAT, VERAGUA, C.P. 090303|DO090303|
